title,company,location,link
"Visual C++, Python 이용한 소프트웨어 개발 및 유지보수가 가능한 인재",유니테코,용인 기흥구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b9499f4d0a5a9c36&from=web&vjs=3
Data Scientist,BOEING,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3f650de35b95f7fc&from=web&vjs=3
[HDC 랩스] 2022년 상반기 경력,현대산업개발,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ca42174fece4f1e7&from=web&vjs=3
[TmaxEdu/R&D] 연구 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cb4eca654b2c2901&from=web&vjs=3
Machine Learning 엔지니어,카카오모빌리티,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=70a300d9cc2aff7e&from=web&vjs=3
2022년 2월 경력사원 (제조지능화),LG에너지솔루션,청주 오창읍,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=05b54a7b23b66511&from=web&vjs=3
C++ Developer for High Performance Cloud Database,SAP,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=20c20d5b4ade577d&from=web&vjs=3
2022년도 1차 계약직,국가보안기술연구소,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=adbd22b4349f9825&from=web&vjs=3
C++/PYTHON 백엔드 경력개발자 (서울/춘천),지오비전,강원도 춘천,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=692b80b5dfe1d32c&from=web&vjs=3
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5ea9ea023c6ccc03&from=web&vjs=3
"[TmaxMetaverse/R&D] 게임 엔진, 게임 서버, 메타버스 스튜디오 개발자",티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b9d4defa6e2b7739&from=web&vjs=3
5G R&D 소프트웨어 개발자,Ericsson,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=df86d9b3c5f1ead7&from=web&vjs=3
서버 개발자 Python(Django) Developer (신입/경력),아테나스랩,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ebd9b7e972f551fc&from=web&vjs=3
"인공지능(AI), Python(응용프로그램 개발자) 외 신입/경력 정규직",쿠노소프트,서울 성북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8cc372a6b78679b1&from=web&vjs=3
Junior Structural Engineer,SYSTRA,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=82d47e44be45bb97&from=web&vjs=3
[전문연구요원 신규편입/전직] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=40de6a4b81f8724f&from=web&vjs=3
C++/PYTHON 백엔드 개발자 (근무지:춘천or서울),지오비전,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5b3c147dddec314b&from=web&vjs=3
Network Engineer (Linux/Python),KLA,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1bb3ad92965d09e9&from=web&vjs=3
Expat: Experimental Physicist Tuning and Monitoring,IMS Nanofabrication,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c5a2d1029018e4ba&from=web&vjs=3
"PHP, Python 신입/경력 정규직",비즈부스터,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=14d562d10c215572&from=web&vjs=3
애플리케이션 개발자&컨설턴트 정규직,디지포머싸스랩,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f8bfec7bfbdffd0a&from=web&vjs=3
빅데이터 분석 기술인력 (정규직),한국정보기술단,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c793a3ef3425f495&from=web&vjs=3
2022년 상반기 부문별 공개,슈어소프트테크,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=091fcae435f75a05&from=web&vjs=3
데이터표준화 부문 경력,현대오토에버,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7585ef1908280606&from=web&vjs=3
[외국계 스타트업 미소] Business Analyst,유한회사 미소,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=51df90967b46e8f0&from=web&vjs=3
"[IT취업교육] 빅데이터·파이썬 실무 전문가, 자바·스프링·앱 개발자 취업반",아이티윌 부산교육센터,부산 부산진구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c8b28dbed2073069&from=web&vjs=3
Data Engineer (Python Backend 경력자),드림어스컴퍼니,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=13059ac76a29fa54&from=web&vjs=3
Product Development Engineer,KLA,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=59bfeb68f785d534&from=web&vjs=3
생명정보학 부문 박사졸 선임연구원 정규직 정규직,카이팜,서울 서대문구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3cd339cf8959f44d&from=web&vjs=3
Machine Learning R&D 연구원,카이어,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=19da3484bd7a72f1&from=web&vjs=3
Support Engineer- Developer,Microsoft,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f8691758f74c5242&from=web&vjs=3
KDI 직원,한국개발연구원,세종특별자치시 세종,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c74de92014f38ce0&from=web&vjs=3
System SW 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fc037709d0770796&from=web&vjs=3
[대형증권사] 자산배분전략 수립/모델개발,인코리아 프로페셔널,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=025b89990231eea6&from=web&vjs=3
[kt ds]2021년 각 부문별 경력사원 수시,케이티디에스,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef62b0e22d2dd6a2&from=web&vjs=3
애플리케이션 개발자&컨설턴트 정규직,디지포머싸스랩,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f8bfec7bfbdffd0a&from=web&vjs=3
데이터 엔지니어,Bagelcode,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=98a3e3328fec92db&from=web&vjs=3
데이터 소프트웨어 엔지니어,데브시스터즈,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d3386d57c10facce&from=web&vjs=3
2022년 상반기 부문별 공개,슈어소프트테크,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=091fcae435f75a05&from=web&vjs=3
딥러닝 알고리즘 및 응용 Engineer,딥엑스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=35f0a25dee5f3312&from=web&vjs=3
[국비무료/취업연계] 실무프로젝트 기반 빅데이터/핀테크/인공지능 연수생,아시아경제,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d8918f984b349ea6&from=web&vjs=3
[외국계 스타트업 미소] Business Analyst,유한회사 미소,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=51df90967b46e8f0&from=web&vjs=3
[SAPEON Korea] SDK 부문 개발자,사피온코리아,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b6950e35673a5474&from=web&vjs=3
"C#, Python 외 신입/경력 정규직",윤슬,대전 대덕구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=615237794a40fe5e&from=web&vjs=3
BigData 개발 및 운영 담당 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ec28b4a12fadf567&from=web&vjs=3
"[로봇개발본부(판교근무)] 각 분야별 (백엔드, WEB APP 개발, APP 개발)",트위니,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=46253fd5b203d931&from=web&vjs=3
데이터표준화 부문 경력,현대오토에버,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7585ef1908280606&from=web&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=78e99625e5de3c95&from=web&vjs=3
Software Developer & Verification,Ericsson,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3fbf16cd38fd66c8&from=web&vjs=3
Software Engineer,Google,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e7c8c2b11f24fb43&from=web&vjs=3
[시높시스코리아] 2022년 Training & Hiring Program,서울여자대학교,서울 노원구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=474d97735565073a&from=web&vjs=3
Software Intern,Maxim Integrated,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e11919aa1a40d234&from=web&vjs=3
데이터 사이언티스트,Bagelcode,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=19beeb5c7f50c5b4&from=web&vjs=3
NAVER Cloud 사내 플랫폼 운영,NIT Service,성남 삼평동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e8004f38042e7d44&from=web&vjs=3
"영상처리, 컴퓨터 비전 전문가 (신입/경력)",에바,성남 수정구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2642a83874ea6bab&from=web&vjs=3
의료기기시스템 검증 및 신뢰성 검증 담당자(의료),고영테크놀러지,용인 수지구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6f396db339ab4ee3&from=web&vjs=3
[폴라리스오피스] 전부문 대규모,폴라리스오피스,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=18412f48d46b750e&from=web&vjs=3
빅데이터분석 수시 채용,HK이노엔,서울 을지로2가,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cd919aed133f6b4d&from=web&vjs=3
[키움투자자산운용] 자산배분전략팀 팀원 (사원~대리급),키움투자자산운용,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1750764e7fad99ec&from=web&vjs=3
(서울시 용산) 전문 분석관 (석사),심네트,서울 용산구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5861c2740c908a50&from=web&vjs=3
Software Engineer - CNC (Computer Numerical Control) program...,BOEING,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=10f2dcc4001cb35f&from=web&vjs=3
[2021년 대중소기업 상생 일자리 프로그램] SK하이닉스 사업단 협력사 - 주식회사 미코,미코,경기도 안성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c01b5547feadb2ab&from=web&vjs=3
Jr. Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=733b814969bff5a7&from=web&vjs=3
[NAVER Cloud] 빅데이터 분석 플랫폼 엔지니어,네이버클라우드,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=613e8260c0a33e9d&from=web&vjs=3
[전문연구요원] 의료영상 리서치 엔지니어 정규직,메디픽셀,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3544467a7b64376f&from=web&vjs=3
네트워크 모니터링 및 자동화 시스템 개발자 영입,카카오페이,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b965ad2a49e454eb&from=web&vjs=3
현대백화점 데이터기획팀 데이터 분석/기획 경력,현대백화점,서울 삼성역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7d205770c41f1c8b&from=web&vjs=3
CS LCP,ASML,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=87d89ada0a8d00c3&from=web&vjs=3
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",비에이블컨설팅그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b9e398dad2b59007&from=web&vjs=3
[NAVER Z] 3D 리거,네이버제트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e5cf3dda5a485def&from=web&vjs=3
데이터 전문가(모델러/분석가/엔지니어) 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ac9068957c550cb3&from=web&vjs=3
서버 개발자 Python(Django) Developer (신입/경력),아테나스랩,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ebd9b7e972f551fc&from=web&vjs=3
AI Software Engineer,GE Appliances,경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=53fbfe54f327d9dc&from=web&vjs=3
가우스랩스 Computer Vision & Image Processing Applied Scientist,가우스랩스,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e96bc531d76390a&from=web&vjs=3
"PHP, Python 신입/경력 정규직",비즈부스터,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=14d562d10c215572&from=web&vjs=3
[SPMED] IT 개발자(Back-end),에스피메드,부산 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c00ed5d001e99d45&from=web&vjs=3
2021년 이공계 전문여성 아카데미 인턴십() 참여기업,한국여성공학기술인협회,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b14fdb9121c0a3f4&from=web&vjs=3
개발자 생산성 엔지니어,컬리,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=68abe32585a52892&from=web&vjs=3
[네오컨버전스] 딥러닝 개발자 신입/경력 정규직,네오컨버전스,서울 성동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b03b8655f632f8f0&from=web&vjs=3
[SAPEON Korea] 개발자,사피온코리아,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=69bd6daa77f28616&from=web&vjs=3
2022년도 1차 계약직,국가보안기술연구소,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=adbd22b4349f9825&from=web&vjs=3
디지털 미디어 매니저(퍼포먼스&브랜딩) 신입/경력,스스스스,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4d6fa0f1b9726d7c&from=web&vjs=3
CRM 및 마케팅 데이터분석 담당자 - 국내 대기업 계열사,라피플코리아리미티드,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7fe0c284fbf4045f&from=web&vjs=3
[INEEJI 인공지능연구소] AI 예측 전문기업 개발팀원,인이지,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6825074ac2d6f4ad&from=web&vjs=3
앱가드 Android 개발,NHN,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=834db148c2e3c7b5&from=web&vjs=3
Data Engineer 신입사원,플리토,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5ab0b45dfa93411b&from=web&vjs=3
"개발자 - Python 프로그래밍과 Java, C 소스코드 분석",바인테크,서울 송파구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4cc15c26097421c5&from=web&vjs=3
"Software Engineer, Android Connectivity",Google,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cb973769974700e0&from=web&vjs=3
"JAVA, Python 경력 정규직",마인케이,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=11d06a906dfe933f&from=web&vjs=3
Sr. Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=752a4b5d63eac97c&from=web&vjs=3
Network Engineer (Linux/Python),KLA,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1bb3ad92965d09e9&from=web&vjs=3
[웹젠] DBA(신입),웹젠,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=839879671ea513c5&from=web&vjs=3
"[IT취업교육] 빅데이터·파이썬 실무 전문가, 자바·스프링·앱 개발자 취업반",아이티윌 부산교육센터,부산 부산진구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c8b28dbed2073069&from=web&vjs=3
[TmaxAI/R&D] AI & FinTech 부문 프론트엔드 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=43835708050a81c8&from=web&vjs=3
[NIT Service] 네이버 파이낸셜 플랫폼 운영,엔아이티서비스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1961a1ecccb03336&from=web&vjs=3
[포티투마루] 인공지능(AI) 개발자 전 부문,포티투마루,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=22ffe020e40de675&from=web&vjs=3
Junior Structural Engineer,SYSTRA,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=82d47e44be45bb97&from=web&vjs=3
가상자산 트레이딩 / 시스템 개발자,블록투리얼,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c04680232735292a&from=web&vjs=3
[NAVER Cloud] 리눅스 배포판 개발,네이버클라우드,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e34c06d01e1f387e&from=web&vjs=3
Machine Learning R&D 연구원,카이어,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=19da3484bd7a72f1&from=web&vjs=3
소프트웨어 엔지니어,당근마켓,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bf353e320cf24f99&from=web&vjs=3
[SAPEON Korea] Deep Learning 개발자,사피온코리아,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9d03965e8523cea6&from=web&vjs=3
[신입/경력] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c35e9b72a11aa338&from=web&vjs=3
[제약] 신약 분자설계 연구(선임/책임),BOB네트웍스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=14d5f070330861c8&from=web&vjs=3
전문연구요원 (병역특례) 수시 (AI / SW 분야),딥엑스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d83fc0dd2641f483&from=web&vjs=3
"인공지능(AI), 비전인식 신입/경력 정규직",thecompany,창원 마산회원구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07ca8246e466046d&from=web&vjs=3
[웹젠] TA(Unreal Engine 4)(경력),웹젠,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=325769472a65579b&from=web&vjs=3
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=71c47ac87bb4087e&from=web&vjs=3
Software Architect,Cadence Design Systems,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=65e372cb5a6e5e1f&from=web&vjs=3
[아이브릭스] 기업부설연구소 전문연구요원,아이브릭스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9adbc290202846e1&from=web&vjs=3
침해사고 대응 보안 담당자,NHN,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=06d133676285b02e&from=web&vjs=3
Sr. Application Engineer - EBS,Siemens,경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eba169ad2f8bfa95&from=web&vjs=3
